                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97927,                 3.4646,                 1.3564,                0.90178,                0.51846,                0.72666,                0.49377,                 1.5461,                 1.6411,                 1.3288,                      0,                      0,                      0
                      2,                 1.3627,                 2.8458,                 1.6623,                0.90609,                0.52352,                0.73834,                0.51482,                   1.55,                 1.6203,                 1.3236,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.2939,                 3.5815,                 1.6968,                0.90718,                0.52505,                0.72883,                0.52209,                 1.5321,                 1.6025,                 1.3099,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3871,                  3.691,                 1.7283,                0.61621,                0.68607,                0.75322,                0.54182,                 1.5215,                  1.595,                  1.307,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0251,                 2.3312,                 1.2784,                0.61555,                 0.6945,                0.75256,                0.55014,                  1.521,                 1.5908,                 1.3044,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0408,                 3.1867,                 1.4127,                0.91236,                0.53838,                0.75234,                 0.5532,                 1.5128,                 1.6538,                 1.3062,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2311,                 2.9811,                 1.4695,                0.91627,                0.54131,                0.75083,                0.54602,                 1.5264,                  1.678,                  1.312,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1636,                 2.5533,                 1.6489,                0.91787,                0.54624,                0.75231,                0.53147,                   1.53,                 1.6931,                  1.317,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.91846,                 1.9505,                 1.3413,                0.92166,                0.54795,                0.75305,                0.53064,                 1.5452,                 1.7356,                 1.3271,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1665,                 2.5569,                 1.5893,                0.92692,                   0.55,                0.75809,                0.52245,                 1.5511,                 1.8044,                 1.3363,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0988,                 2.1911,                 1.2767,                0.92677,                   0.55,                0.84118,                0.55427,                 1.5576,                 1.8304,                 1.3547,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0965,                 2.9908,                 1.4507,                0.89843,                   0.55,                 0.8418,                0.55386,                 1.5587,                 1.8195,                 1.3673,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.90666,                 2.1037,                 1.2778,                0.85763,                   0.55,                0.84038,                0.57878,                 1.5506,                  1.836,                 1.3659,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                  1.207,                 2.6954,                 1.5712,                0.82678,                   0.55,                 0.8402,                0.53787,                 1.5422,                 1.8865,                 1.3587,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.86952,                  1.734,                  1.224,                0.81218,                0.55826,                0.74763,                 0.5264,                 1.5327,                 1.8937,                 1.3527,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.92367,                  2.486,                 1.3177,                0.80441,                0.56256,                0.74702,                0.52628,                  1.536,                 1.9146,                 1.3632,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.0498,                 2.0066,                  1.404,                 0.7855,                0.58333,                0.74671,                0.52146,                 1.5127,                 1.9646,                 1.3487,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.68008,                  2.126,                  1.165,                 0.7855,                0.58333,                0.74671,                0.52146,                 1.5127,                 1.9646,                 1.3487,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.1464,                 2.7101,                 1.5826,                  0.749,                0.58333,                0.63662,                0.48808,                 1.5361,                 2.0541,                 1.3589,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                  1.049,                 1.8567,                 1.3821,                  0.749,                0.58333,                0.63662,                0.48808,                 1.5361,                 2.0541,                 1.3589,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 0.9999,                 1.9379,                 1.3714,                0.77179,                0.58333,                0.61421,                0.46552,                 1.5394,                 2.1303,                 1.3731,             1.9088e-05,             1.9088e-05,             1.9088e-05
