                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1252,                 5.0564,                 2.0892,                      0,                      0,                      0,                      0,                 3.0122,                 5.7139,                 2.4093,                      0,                      0,                      0
                      2,                 1.7782,                 4.9994,                 1.9219,                      0,                      0,                      0,                      0,                   3.08,                 5.7171,                  2.427,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                  1.197,                 4.8273,                 1.5527,                      0,                      0,                      0,                      0,                 3.1382,                 5.6855,                 2.4671,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.5707,                 4.8397,                 1.6891,                      0,                      0,                      0,                      0,                 3.1636,                 5.6806,                 2.4569,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.0559,                 5.0481,                 1.9313,                      0,                      0,                      0,                      0,                 3.1439,                 5.6992,                  2.445,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.8807,                 4.9517,                 1.9859,                      0,                      0,                      0,                      0,                 3.1109,                 5.7177,                 2.4161,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.9686,                 4.9236,                 1.7819,                      0,                      0,                      0,                      0,                 3.0884,                  5.725,                 2.4113,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.7088,                 4.9387,                 1.7228,                      0,                      0,                      0,                      0,                 3.0754,                 5.7279,                 2.4091,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.7994,                 4.9618,                 1.8309,                      0,                      0,                      0,                      0,                 3.1012,                 5.7443,                 2.4224,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.2441,                 4.7884,                 1.5767,                      0,                      0,                      0,                      0,                 3.1144,                 5.7617,                  2.425,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.0468,                 5.1126,                 2.0159,                      0,                      0,                      0,                      0,                 3.1334,                 5.7737,                 2.4202,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.6748,                 5.0383,                 1.6574,                      0,                      0,                      0,                      0,                 3.1574,                  5.798,                 2.4204,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.7355,                  4.866,                 1.8204,                      0,                      0,                      0,                      0,                 3.1425,                   5.81,                 2.4054,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.7499,                 4.9464,                 1.8775,                      0,                      0,                      0,                      0,                 3.1282,                 5.8033,                 2.3925,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.8483,                 5.0167,                 1.7821,                      0,                      0,                      0,                      0,                 3.1133,                 5.7992,                 2.3885,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.7369,                 4.8845,                 1.7461,                      0,                      0,                      0,                      0,                  3.106,                 5.7949,                  2.392,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.5957,                 4.8973,                 1.7311,                      0,                      0,                      0,                      0,                 3.0823,                 5.7887,                 2.3885,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.3417,                 4.9031,                  1.646,                      0,                      0,                      0,                      0,                 3.0823,                 5.7887,                 2.3885,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.5916,                 4.9149,                 1.8508,                      0,                      0,                      0,                      0,                 3.0333,                 5.7964,                 2.4005,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.7546,                 4.9939,                 1.6942,                      0,                      0,                      0,                      0,                 3.0333,                 5.7964,                 2.4005,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.4813,                 4.9188,                 1.7291,                      0,                      0,                      0,                      0,                 3.0212,                 5.7771,                 2.4057,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.6291,                 4.8895,                 1.7525,                      0,                      0,                      0,                      0,                 3.0212,                 5.7771,                 2.4057,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.0617,                 4.9585,                 1.8799,                      0,                      0,                      0,                      0,                 3.0036,                 5.7931,                 2.3818,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.7471,                 4.9893,                 1.8435,                      0,                      0,                      0,                      0,                 3.0036,                 5.7931,                 2.3818,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.4434,                 4.9422,                 1.7409,                      0,                      0,                      0,                      0,                 2.9796,                 5.7741,                 2.3657,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.4922,                 4.8235,                 1.5713,                      0,                      0,                      0,                      0,                 2.9796,                 5.7741,                 2.3657,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.7564,                 4.8775,                  1.749,                      0,                      0,                      0,                      0,                 2.9792,                 5.7635,                  2.375,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.7989,                 4.8808,                 1.7821,                      0,                      0,                      0,                      0,                 2.9792,                 5.7635,                  2.375,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 1.7063,                  4.871,                 1.6597,                      0,                      0,                      0,                      0,                 2.9689,                  5.751,                 2.3854,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.4806,                 4.6831,                  1.643,                      0,                      0,                      0,                      0,                 2.9689,                  5.751,                 2.3854,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.6524,                 4.9735,                  1.678,                      0,                      0,                      0,                      0,                  2.972,                 5.7552,                 2.3665,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 1.7071,                 4.9573,                 1.6784,                      0,                      0,                      0,                      0,                  2.972,                 5.7552,                 2.3665,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.6007,                 4.8906,                 1.8204,                      0,                      0,                      0,                      0,                 2.9312,                 5.7676,                 2.3323,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.5821,                 5.0263,                 1.7933,                      0,                      0,                      0,                      0,                 2.9312,                 5.7676,                 2.3323,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.5282,                 4.8019,                 1.6179,                      0,                      0,                      0,                      0,                 2.9083,                 5.7703,                 2.3174,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.7438,                 4.9774,                 1.8436,                      0,                      0,                      0,                      0,                 2.9083,                 5.7703,                 2.3174,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.7743,                  4.928,                 1.7332,                      0,                      0,                      0,                      0,                 2.8823,                 5.7793,                 2.2972,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.2362,                 4.6861,                 1.4317,                      0,                      0,                      0,                      0,                 2.8823,                 5.7793,                 2.2972,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.4368,                  4.658,                 1.7765,                      0,                      0,                      0,                      0,                 2.8573,                 5.7985,                  2.298,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.1242,                 4.8306,                 1.9617,                      0,                      0,                      0,                      0,                 2.8573,                 5.7985,                  2.298,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.1177,                 4.7448,                 1.4812,                      0,                      0,                      0,                      0,                 2.8388,                 5.8108,                 2.2919,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.8094,                 4.9996,                 1.7442,                      0,                      0,                      0,                      0,                 2.8388,                 5.8108,                 2.2919,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.2566,                 4.7388,                 1.5216,                      0,                      0,                      0,                      0,                 2.8267,                 5.8036,                 2.2811,             2.9198e-05,             2.9198e-05,             2.9198e-05
